1	0.005285
10	0.004723
100	0.006069
108	0.005959
111	0.004345
119	0.004996
122	0.005588
133	0.004110
144	0.003513
155	0.004520
166	0.005175
177	0.006231
18	0.006360
180	0.004894
188	0.005243
191	0.004533
199	0.005623
21	0.005260
29	0.005051
32	0.004500
43	0.005833
54	0.004409
65	0.004449
76	0.004952
87	0.004053
9	0.003896
90	0.004871
98	0.005618
101	0.005140
109	0.005324
11	0.004293
112	0.005228
123	0.004410
134	0.006084
145	0.004512
156	0.003709
167	0.004512
170	0.005838
178	0.005180
181	0.006120
189	0.003453
19	0.005312
192	0.004526
2	0.004192
22	0.005030
33	0.006130
44	0.005364
55	0.004836
66	0.005194
77	0.004570
80	0.005813
88	0.004061
91	0.003600
99	0.003550
102	0.004029
113	0.006178
12	0.003406
124	0.006778
135	0.004831
146	0.005752
157	0.004483
160	0.004684
168	0.005976
171	0.005177
179	0.005373
182	0.005239
193	0.004918
23	0.005443
3	0.004765
34	0.007186
45	0.004929
56	0.004134
67	0.004589
70	0.004675
78	0.005594
81	0.005694
89	0.003934
92	0.003380
103	0.004328
114	0.005580
125	0.006851
13	0.004553
136	0.004874
147	0.005706
150	0.004943
158	0.005624
161	0.005143
169	0.005277
172	0.005820
183	0.005547
194	0.004607
24	0.006462
35	0.004545
4	0.003299
46	0.004701
57	0.006810
60	0.004203
68	0.005149
71	0.005699
79	0.004872
82	0.005652
93	0.004918
104	0.004964
115	0.005647
126	0.004963
137	0.005630
14	0.005125
140	0.005876
148	0.005006
151	0.006333
159	0.005373
162	0.006495
173	0.004517
184	0.005225
195	0.004472
25	0.004769
36	0.003993
47	0.006854
5	0.005529
50	0.005908
58	0.005143
61	0.004624
69	0.004412
72	0.005374
83	0.004163
94	0.003776
105	0.004551
116	0.003963
127	0.003885
130	0.004160
138	0.005720
141	0.003919
149	0.005279
15	0.003817
152	0.004075
163	0.004696
174	0.005109
185	0.004681
196	0.005282
26	0.005554
37	0.004837
40	0.005365
48	0.005946
51	0.005105
59	0.005936
6	0.004978
62	0.004807
73	0.004861
84	0.005382
95	0.004430
106	0.006447
117	0.004430
120	0.005090
128	0.005748
131	0.004517
139	0.005746
142	0.004215
153	0.004558
16	0.004554
164	0.006045
175	0.003710
186	0.005278
197	0.005558
27	0.005426
30	0.005516
38	0.004210
41	0.005622
49	0.006475
52	0.004764
63	0.005772
7	0.005373
74	0.005076
85	0.005968
96	0.004132
0	0.003954
107	0.004437
110	0.005262
118	0.003549
121	0.005150
129	0.004401
132	0.004751
143	0.004574
154	0.004489
165	0.007261
17	0.006067
176	0.004269
187	0.005325
190	0.005639
198	0.004393
20	0.004704
28	0.005598
31	0.004489
39	0.003663
42	0.003759
53	0.006818
64	0.004767
75	0.006248
8	0.004917
86	0.004779
97	0.006540
